"item" "cond" "region" "subj" "expt" "rt" "region.id" "region2" "probs" "dist.exp" "dist.noexp" "exp" "dist" "int" "lrt"
"164" 1 "d" "MainVerb" 36 "CP1" 953 4 "crit" 0.3 0 1 -1 1 -1 6.8596149036542
"168" 1 "d" "MainVerb" 48 "CP1" 984 4 "crit" 0.3 0 1 -1 1 -1 6.89162589705225
"169" 1 "d" "MainVerb" 24 "CP1" 625 4 "crit" 0.3 0 1 -1 1 -1 6.4377516497364
"172" 1 "d" "MainVerb" 56 "CP1" 1641 4 "crit" 0.3 0 1 -1 1 -1 7.40306109109009
"173" 1 "d" "MainVerb" 8 "CP1" 4797 4 "crit" 0.3 0 1 -1 1 -1 8.47574600150206
"174" 1 "d" "MainVerb" 4 "CP1" 344 4 "crit" 0.3 0 1 -1 1 -1 5.8406416573734
"177" 1 "d" "MainVerb" 44 "CP1" 641 4 "crit" 0.3 0 1 -1 1 -1 6.46302945692067
"178" 1 "d" "MainVerb" 52 "CP1" 3765 4 "crit" 0.3 0 1 -1 1 -1 8.23350314023399
"181" 10 "a" "CPLightVerb" 60 "CP1" 469 4 "crit" 1 -1 0 1 -1 -1 6.15060276844628
"186" 10 "a" "CPLightVerb" 28 "CP1" 687 4 "crit" 1 -1 0 1 -1 -1 6.53233429222235
"191" 10 "a" "CPLightVerb" 32 "CP1" 390 4 "crit" 1 -1 0 1 -1 -1 5.96614673912369
"194" 10 "a" "CPLightVerb" 4 "CP1" 1500 4 "crit" 1 -1 0 1 -1 -1 7.3132203870903
"197" 10 "a" "CPLightVerb" 36 "CP1" 437 4 "crit" 1 -1 0 1 -1 -1 6.07993319509559
"202" 10 "a" "CPLightVerb" 20 "CP1" 641 4 "crit" 1 -1 0 1 -1 -1 6.46302945692067
"204" 10 "a" "CPLightVerb" 40 "CP1" 1063 4 "crit" 1 -1 0 1 -1 -1 6.96885037834195
"205" 10 "a" "CPLightVerb" 16 "CP1" 719 4 "crit" 1 -1 0 1 -1 -1 6.57786135772105
