"item" "cond" "region" "subj" "expt" "rt" "region.id" "region2" "probs" "dist.exp" "dist.noexp" "exp" "dist" "int" "lrt"
"712" 12 "d" "MainVerb" 1 "CP1" 359 4 "crit" 0.1 0 1 -1 1 -1 5.88332238848828
"713" 12 "d" "MainVerb" 21 "CP1" 1250 4 "crit" 0.1 0 1 -1 1 -1 7.13089883029635
"715" 12 "d" "MainVerb" 37 "CP1" 406 4 "crit" 0.1 0 1 -1 1 -1 6.00635315960173
"716" 12 "d" "MainVerb" 5 "CP1" 531 4 "crit" 0.1 0 1 -1 1 -1 6.27476202124194
"719" 12 "d" "MainVerb" 45 "CP1" 907 4 "crit" 0.1 0 1 -1 1 -1 6.81014245011514
"725" 13 "a" "CPLightVerb" 13 "CP1" 438 4 "crit" 1 -1 0 1 -1 -1 6.08221891037645
"727" 13 "a" "CPLightVerb" 1 "CP1" 359 4 "crit" 1 -1 0 1 -1 -1 5.88332238848828
"731" 13 "a" "CPLightVerb" 17 "CP1" 1516 4 "crit" 1 -1 0 1 -1 -1 7.32383056620232
"732" 13 "a" "CPLightVerb" 9 "CP1" 1578 4 "crit" 1 -1 0 1 -1 -1 7.36391350140582
"733" 13 "a" "CPLightVerb" 29 "CP1" 797 4 "crit" 1 -1 0 1 -1 -1 6.68085467879022
"734" 13 "a" "CPLightVerb" 41 "CP1" 422 4 "crit" 1 -1 0 1 -1 -1 6.04500531403601
"735" 13 "a" "CPLightVerb" 49 "CP1" 485 4 "crit" 1 -1 0 1 -1 -1 6.18414889093748
"739" 13 "a" "CPLightVerb" 33 "CP1" 562 4 "crit" 1 -1 0 1 -1 -1 6.33150184989369
"743" 13 "a" "CPLightVerb" 21 "CP1" 828 4 "crit" 1 -1 0 1 -1 -1 6.71901315438526
"749" 13 "a" "CPLightVerb" 57 "CP1" 813 4 "crit" 1 -1 0 1 -1 -1 6.70073110954781
"753" 13 "a" "CPLightVerb" 37 "CP1" 406 4 "crit" 1 -1 0 1 -1 -1 6.00635315960173
"754" 13 "a" "CPLightVerb" 25 "CP1" 562 4 "crit" 1 -1 0 1 -1 -1 6.33150184989369
"755" 13 "a" "CPLightVerb" 45 "CP1" 781 4 "crit" 1 -1 0 1 -1 -1 6.66057514983969
"760" 13 "a" "CPLightVerb" 5 "CP1" 703 4 "crit" 1 -1 0 1 -1 -1 6.55535689181067
"763" 13 "a" "CPLightVerb" 53 "CP1" 547 4 "crit" 1 -1 0 1 -1 -1 6.30444880242198
"771" 13 "b" "CPLightVerb" 22 "CP1" 594 4 "crit" 1 1 0 1 1 1 6.38687931936265
"774" 13 "b" "CPLightVerb" 34 "CP1" 2828 4 "crit" 1 1 0 1 1 1 7.94732502701646
"778" 13 "b" "CPLightVerb" 54 "CP1" 437 4 "crit" 1 1 0 1 1 1 6.07993319509559
"780" 13 "b" "CPLightVerb" 14 "CP1" 781 4 "crit" 1 1 0 1 1 1 6.66057514983969
"784" 13 "b" "CPLightVerb" 6 "CP1" 421 4 "crit" 1 1 0 1 1 1 6.04263283368238
"785" 13 "b" "CPLightVerb" 30 "CP1" 562 4 "crit" 1 1 0 1 1 1 6.33150184989369
"791" 13 "b" "CPLightVerb" 2 "CP1" 516 4 "crit" 1 1 0 1 1 1 6.24610676548156
"792" 13 "b" "CPLightVerb" 10 "CP1" 469 4 "crit" 1 1 0 1 1 1 6.15060276844628
"799" 13 "b" "CPLightVerb" 58 "CP1" 813 4 "crit" 1 1 0 1 1 1 6.70073110954781
"802" 13 "b" "CPLightVerb" 50 "CP1" 1156 4 "crit" 1 1 0 1 1 1 7.05272104923232
"804" 13 "b" "CPLightVerb" 46 "CP1" 610 4 "crit" 1 1 0 1 1 1 6.41345895716736
"805" 13 "b" "CPLightVerb" 26 "CP1" 359 4 "crit" 1 1 0 1 1 1 5.88332238848828
"807" 13 "b" "CPLightVerb" 38 "CP1" 469 4 "crit" 1 1 0 1 1 1 6.15060276844628
"808" 13 "b" "CPLightVerb" 18 "CP1" 953 4 "crit" 1 1 0 1 1 1 6.8596149036542
"810" 13 "b" "CPLightVerb" 42 "CP1" 313 4 "crit" 1 1 0 1 1 1 5.74620319054015
"817" 13 "c" "MainVerb" 35 "CP1" 359 4 "crit" 0 0 -1 -1 -1 1 5.88332238848828
"820" 13 "c" "MainVerb" 15 "CP1" 579 4 "crit" 0 0 -1 -1 -1 1 6.361302477573
"821" 13 "c" "MainVerb" 23 "CP1" 328 4 "crit" 0 0 -1 -1 -1 1 5.79301360838414
"822" 13 "c" "MainVerb" 59 "CP1" 437 4 "crit" 0 0 -1 -1 -1 1 6.07993319509559
"823" 13 "c" "MainVerb" 51 "CP1" 2594 4 "crit" 0 0 -1 -1 -1 1 7.86095636487639
"826" 13 "c" "MainVerb" 11 "CP1" 563 4 "crit" 0 0 -1 -1 -1 1 6.33327962813969
"828" 13 "c" "MainVerb" 47 "CP1" 594 4 "crit" 0 0 -1 -1 -1 1 6.38687931936265
"836" 13 "c" "MainVerb" 3 "CP1" 1531 4 "crit" 0 0 -1 -1 -1 1 7.33367639565768
"839" 13 "c" "MainVerb" 31 "CP1" 469 4 "crit" 0 0 -1 -1 -1 1 6.15060276844628
"840" 13 "c" "MainVerb" 39 "CP1" 453 4 "crit" 0 0 -1 -1 -1 1 6.11589212548303
"843" 13 "c" "MainVerb" 7 "CP1" 469 4 "crit" 0 0 -1 -1 -1 1 6.15060276844628
"844" 13 "c" "MainVerb" 43 "CP1" 531 4 "crit" 0 0 -1 -1 -1 1 6.27476202124194
"847" 13 "c" "MainVerb" 55 "CP1" 312 4 "crit" 0 0 -1 -1 -1 1 5.74300318780948
"849" 13 "c" "MainVerb" 27 "CP1" 687 4 "crit" 0 0 -1 -1 -1 1 6.53233429222235
"851" 13 "c" "MainVerb" 19 "CP1" 406 4 "crit" 0 0 -1 -1 -1 1 6.00635315960173
"859" 13 "d" "MainVerb" 48 "CP1" 672 4 "crit" 0 0 1 -1 1 -1 6.51025834052315
"860" 13 "d" "MainVerb" 24 "CP1" 625 4 "crit" 0 0 1 -1 1 -1 6.4377516497364
"862" 13 "d" "MainVerb" 8 "CP1" 1187 4 "crit" 0 0 1 -1 1 -1 7.07918439460967
"863" 13 "d" "MainVerb" 32 "CP1" 516 4 "crit" 0 0 1 -1 1 -1 6.24610676548156
"866" 13 "d" "MainVerb" 12 "CP1" 641 4 "crit" 0 0 1 -1 1 -1 6.46302945692067
"867" 13 "d" "MainVerb" 52 "CP1" 1032 4 "crit" 0 0 1 -1 1 -1 6.93925394604151
"870" 13 "d" "MainVerb" 56 "CP1" 453 4 "crit" 0 0 1 -1 1 -1 6.11589212548303
"872" 13 "d" "MainVerb" 60 "CP1" 375 4 "crit" 0 0 1 -1 1 -1 5.92692602597041
"876" 13 "d" "MainVerb" 40 "CP1" 1000 4 "crit" 0 0 1 -1 1 -1 6.90775527898214
"885" 13 "d" "MainVerb" 36 "CP1" 406 4 "crit" 0 0 1 -1 1 -1 6.00635315960173
"888" 13 "d" "MainVerb" 16 "CP1" 547 4 "crit" 0 0 1 -1 1 -1 6.30444880242198
"890" 13 "d" "MainVerb" 28 "CP1" 609 4 "crit" 0 0 1 -1 1 -1 6.4118182677099
"891" 13 "d" "MainVerb" 44 "CP1" 875 4 "crit" 0 0 1 -1 1 -1 6.77422388635761
"895" 13 "d" "MainVerb" 4 "CP1" 547 4 "crit" 0 0 1 -1 1 -1 6.30444880242198
"896" 13 "d" "MainVerb" 20 "CP1" 671 4 "crit" 0 0 1 -1 1 -1 6.50876913697168
"902" 14 "a" "CPLightVerb" 4 "CP1" 688 4 "crit" 0.5 -1 0 1 -1 -1 6.53378883793334
"904" 14 "a" "CPLightVerb" 48 "CP1" 594 4 "crit" 0.5 -1 0 1 -1 -1 6.38687931936265
"905" 14 "a" "CPLightVerb" 40 "CP1" 1032 4 "crit" 0.5 -1 0 1 -1 -1 6.93925394604151
"906" 14 "a" "CPLightVerb" 56 "CP1" 735 4 "crit" 0.5 -1 0 1 -1 -1 6.59987049921284
"908" 14 "a" "CPLightVerb" 44 "CP1" 843 4 "crit" 0.5 -1 0 1 -1 -1 6.73696695800186
"910" 14 "a" "CPLightVerb" 12 "CP1" 734 4 "crit" 0.5 -1 0 1 -1 -1 6.59850902861452
"911" 14 "a" "CPLightVerb" 24 "CP1" 922 4 "crit" 0.5 -1 0 1 -1 -1 6.82654522355659
"914" 14 "a" "CPLightVerb" 60 "CP1" 375 4 "crit" 0.5 -1 0 1 -1 -1 5.92692602597041
"921" 14 "a" "CPLightVerb" 28 "CP1" 469 4 "crit" 0.5 -1 0 1 -1 -1 6.15060276844628
"923" 14 "a" "CPLightVerb" 8 "CP1" 609 4 "crit" 0.5 -1 0 1 -1 -1 6.4118182677099
"928" 14 "a" "CPLightVerb" 20 "CP1" 625 4 "crit" 0.5 -1 0 1 -1 -1 6.4377516497364
"932" 14 "a" "CPLightVerb" 16 "CP1" 562 4 "crit" 0.5 -1 0 1 -1 -1 6.33150184989369
"938" 14 "a" "CPLightVerb" 36 "CP1" 484 4 "crit" 0.5 -1 0 1 -1 -1 6.18208490671663
"940" 14 "a" "CPLightVerb" 32 "CP1" 1797 4 "crit" 0.5 -1 0 1 -1 -1 7.49387388678356
"944" 14 "a" "CPLightVerb" 52 "CP1" 1078 4 "crit" 0.5 -1 0 1 -1 -1 6.98286275146894
"946" 14 "b" "CPLightVerb" 9 "CP1" 735 4 "crit" 0.5 1 0 1 1 1 6.59987049921284
"948" 14 "b" "CPLightVerb" 45 "CP1" 594 4 "crit" 0.5 1 0 1 1 1 6.38687931936265
"951" 14 "b" "CPLightVerb" 1 "CP1" 453 4 "crit" 0.5 1 0 1 1 1 6.11589212548303
"953" 14 "b" "CPLightVerb" 21 "CP1" 516 4 "crit" 0.5 1 0 1 1 1 6.24610676548156
"955" 14 "b" "CPLightVerb" 37 "CP1" 344 4 "crit" 0.5 1 0 1 1 1 5.8406416573734
"956" 14 "b" "CPLightVerb" 33 "CP1" 485 4 "crit" 0.5 1 0 1 1 1 6.18414889093748
"957" 14 "b" "CPLightVerb" 41 "CP1" 375 4 "crit" 0.5 1 0 1 1 1 5.92692602597041
"958" 14 "b" "CPLightVerb" 29 "CP1" 829 4 "crit" 0.5 1 0 1 1 1 6.7202201551353
"960" 14 "b" "CPLightVerb" 53 "CP1" 593 4 "crit" 0.5 1 0 1 1 1 6.38519439899773
"965" 14 "b" "CPLightVerb" 13 "CP1" 906 4 "crit" 0.5 1 0 1 1 1 6.80903930604298
"968" 14 "b" "CPLightVerb" 57 "CP1" 547 4 "crit" 0.5 1 0 1 1 1 6.30444880242198
"974" 14 "b" "CPLightVerb" 25 "CP1" 391 4 "crit" 0.5 1 0 1 1 1 5.96870755998537
"977" 14 "b" "CPLightVerb" 5 "CP1" 1969 4 "crit" 0.5 1 0 1 1 1 7.58528107863913
"980" 14 "b" "CPLightVerb" 17 "CP1" 640 4 "crit" 0.5 1 0 1 1 1 6.46146817635372
"982" 14 "b" "CPLightVerb" 49 "CP1" 437 4 "crit" 0.5 1 0 1 1 1 6.07993319509559
"991" 14 "c" "MainVerb" 34 "CP1" 1047 4 "crit" 0 0 -1 -1 -1 1 6.95368421087054
"992" 14 "c" "MainVerb" 6 "CP1" 3500 4 "crit" 0 0 -1 -1 -1 1 8.1605182474775
"994" 14 "c" "MainVerb" 2 "CP1" 2266 4 "crit" 0 0 -1 -1 -1 1 7.72577144158795
"995" 14 "c" "MainVerb" 58 "CP1" 921 4 "crit" 0 0 -1 -1 -1 1 6.82546003625531
"997" 14 "c" "MainVerb" 42 "CP1" 563 4 "crit" 0 0 -1 -1 -1 1 6.33327962813969
"1001" 14 "c" "MainVerb" 18 "CP1" 406 4 "crit" 0 0 -1 -1 -1 1 6.00635315960173
"1003" 14 "c" "MainVerb" 22 "CP1" 531 4 "crit" 0 0 -1 -1 -1 1 6.27476202124194
"1010" 14 "c" "MainVerb" 46 "CP1" 1594 4 "crit" 0 0 -1 -1 -1 1 7.37400185935016
"1011" 14 "c" "MainVerb" 38 "CP1" 594 4 "crit" 0 0 -1 -1 -1 1 6.38687931936265
"1013" 14 "c" "MainVerb" 30 "CP1" 516 4 "crit" 0 0 -1 -1 -1 1 6.24610676548156
"1022" 14 "c" "MainVerb" 54 "CP1" 766 4 "crit" 0 0 -1 -1 -1 1 6.64118216974059
"1024" 14 "c" "MainVerb" 26 "CP1" 391 4 "crit" 0 0 -1 -1 -1 1 5.96870755998537
"1027" 14 "c" "MainVerb" 10 "CP1" 750 4 "crit" 0 0 -1 -1 -1 1 6.62007320653036
"1029" 14 "c" "MainVerb" 14 "CP1" 1406 4 "crit" 0 0 -1 -1 -1 1 7.24850407237061
"1031" 14 "c" "MainVerb" 50 "CP1" 1297 4 "crit" 0 0 -1 -1 -1 1 7.16780918431644
"1038" 14 "d" "MainVerb" 31 "CP1" 421 4 "crit" 0 0 1 -1 1 -1 6.04263283368238
"1040" 14 "d" "MainVerb" 19 "CP1" 953 4 "crit" 0 0 1 -1 1 -1 6.8596149036542
"1041" 14 "d" "MainVerb" 7 "CP1" 594 4 "crit" 0 0 1 -1 1 -1 6.38687931936265
"1042" 14 "d" "MainVerb" 55 "CP1" 1641 4 "crit" 0 0 1 -1 1 -1 7.40306109109009
"1043" 14 "d" "MainVerb" 39 "CP1" 407 4 "crit" 0 0 1 -1 1 -1 6.00881318544259
"1046" 14 "d" "MainVerb" 11 "CP1" 656 4 "crit" 0 0 1 -1 1 -1 6.48616078894409
"1050" 14 "d" "MainVerb" 15 "CP1" 703 4 "crit" 0 0 1 -1 1 -1 6.55535689181067
"1051" 14 "d" "MainVerb" 3 "CP1" 1813 4 "crit" 0 0 1 -1 1 -1 7.50273821075485
"1055" 14 "d" "MainVerb" 51 "CP1" 3250 4 "crit" 0 0 1 -1 1 -1 8.08641027532378
"1057" 14 "d" "MainVerb" 47 "CP1" 766 4 "crit" 0 0 1 -1 1 -1 6.64118216974059
"1060" 14 "d" "MainVerb" 43 "CP1" 344 4 "crit" 0 0 1 -1 1 -1 5.8406416573734
"1066" 14 "d" "MainVerb" 23 "CP1" 1000 4 "crit" 0 0 1 -1 1 -1 6.90775527898214
"1069" 14 "d" "MainVerb" 27 "CP1" 1875 4 "crit" 0 0 1 -1 1 -1 7.53636393840451
"1073" 14 "d" "MainVerb" 59 "CP1" 610 4 "crit" 0 0 1 -1 1 -1 6.41345895716736
"1075" 14 "d" "MainVerb" 35 "CP1" 688 4 "crit" 0 0 1 -1 1 -1 6.53378883793334
"1081" 15 "a" "CPLightVerb" 43 "CP1" 609 4 "crit" 1 -1 0 1 -1 -1 6.4118182677099
"1086" 15 "a" "CPLightVerb" 59 "CP1" 421 4 "crit" 1 -1 0 1 -1 -1 6.04263283368238
"1087" 15 "a" "CPLightVerb" 55 "CP1" 360 4 "crit" 1 -1 0 1 -1 -1 5.88610403145016
"1091" 15 "a" "CPLightVerb" 51 "CP1" 500 4 "crit" 1 -1 0 1 -1 -1 6.21460809842219
"1093" 15 "a" "CPLightVerb" 7 "CP1" 438 4 "crit" 1 -1 0 1 -1 -1 6.08221891037645
"1096" 15 "a" "CPLightVerb" 15 "CP1" 297 4 "crit" 1 -1 0 1 -1 -1 5.6937321388027
"1100" 15 "a" "CPLightVerb" 11 "CP1" 484 4 "crit" 1 -1 0 1 -1 -1 6.18208490671663
"1101" 15 "a" "CPLightVerb" 3 "CP1" 594 4 "crit" 1 -1 0 1 -1 -1 6.38687931936265
"1103" 15 "a" "CPLightVerb" 27 "CP1" 1250 4 "crit" 1 -1 0 1 -1 -1 7.13089883029635
"1105" 15 "a" "CPLightVerb" 23 "CP1" 375 4 "crit" 1 -1 0 1 -1 -1 5.92692602597041
"1107" 15 "a" "CPLightVerb" 39 "CP1" 484 4 "crit" 1 -1 0 1 -1 -1 6.18208490671663
"1115" 15 "a" "CPLightVerb" 47 "CP1" 485 4 "crit" 1 -1 0 1 -1 -1 6.18414889093748
"1120" 15 "a" "CPLightVerb" 31 "CP1" 500 4 "crit" 1 -1 0 1 -1 -1 6.21460809842219
"1122" 15 "a" "CPLightVerb" 19 "CP1" 422 4 "crit" 1 -1 0 1 -1 -1 6.04500531403601
"1123" 15 "a" "CPLightVerb" 35 "CP1" 344 4 "crit" 1 -1 0 1 -1 -1 5.8406416573734
"1126" 15 "b" "CPLightVerb" 48 "CP1" 500 4 "crit" 1 1 0 1 1 1 6.21460809842219
"1128" 15 "b" "CPLightVerb" 12 "CP1" 750 4 "crit" 1 1 0 1 1 1 6.62007320653036
"1134" 15 "b" "CPLightVerb" 36 "CP1" 1609 4 "crit" 1 1 0 1 1 1 7.38336814699238
"1136" 15 "b" "CPLightVerb" 20 "CP1" 625 4 "crit" 1 1 0 1 1 1 6.4377516497364
"1140" 15 "b" "CPLightVerb" 56 "CP1" 469 4 "crit" 1 1 0 1 1 1 6.15060276844628
"1145" 15 "b" "CPLightVerb" 16 "CP1" 500 4 "crit" 1 1 0 1 1 1 6.21460809842219
"1147" 15 "b" "CPLightVerb" 44 "CP1" 594 4 "crit" 1 1 0 1 1 1 6.38687931936265
"1148" 15 "b" "CPLightVerb" 60 "CP1" 406 4 "crit" 1 1 0 1 1 1 6.00635315960173
"1149" 15 "b" "CPLightVerb" 4 "CP1" 485 4 "crit" 1 1 0 1 1 1 6.18414889093748
"1152" 15 "b" "CPLightVerb" 40 "CP1" 969 4 "crit" 1 1 0 1 1 1 6.87626461189077
"1155" 15 "b" "CPLightVerb" 32 "CP1" 641 4 "crit" 1 1 0 1 1 1 6.46302945692067
"1156" 15 "b" "CPLightVerb" 8 "CP1" 532 4 "crit" 1 1 0 1 1 1 6.27664348934164
"1158" 15 "b" "CPLightVerb" 24 "CP1" 594 4 "crit" 1 1 0 1 1 1 6.38687931936265
"1169" 15 "b" "CPLightVerb" 28 "CP1" 438 4 "crit" 1 1 0 1 1 1 6.08221891037645
"1170" 15 "b" "CPLightVerb" 52 "CP1" 875 4 "crit" 1 1 0 1 1 1 6.77422388635761
"1172" 15 "c" "MainVerb" 41 "CP1" 407 4 "crit" 0 0 -1 -1 -1 1 6.00881318544259
"1173" 15 "c" "MainVerb" 53 "CP1" 453 4 "crit" 0 0 -1 -1 -1 1 6.11589212548303
"1181" 15 "c" "MainVerb" 21 "CP1" 687 4 "crit" 0 0 -1 -1 -1 1 6.53233429222235
"1183" 15 "c" "MainVerb" 49 "CP1" 500 4 "crit" 0 0 -1 -1 -1 1 6.21460809842219
"1185" 15 "c" "MainVerb" 57 "CP1" 547 4 "crit" 0 0 -1 -1 -1 1 6.30444880242198
"1191" 15 "c" "MainVerb" 45 "CP1" 531 4 "crit" 0 0 -1 -1 -1 1 6.27476202124194
"1193" 15 "c" "MainVerb" 29 "CP1" 484 4 "crit" 0 0 -1 -1 -1 1 6.18208490671663
"1194" 15 "c" "MainVerb" 1 "CP1" 375 4 "crit" 0 0 -1 -1 -1 1 5.92692602597041
"1195" 15 "c" "MainVerb" 33 "CP1" 391 4 "crit" 0 0 -1 -1 -1 1 5.96870755998537
"1201" 15 "c" "MainVerb" 25 "CP1" 469 4 "crit" 0 0 -1 -1 -1 1 6.15060276844628
"1203" 15 "c" "MainVerb" 17 "CP1" 1969 4 "crit" 0 0 -1 -1 -1 1 7.58528107863913
"1206" 15 "c" "MainVerb" 13 "CP1" 4531 4 "crit" 0 0 -1 -1 -1 1 8.41869794466714
"1211" 15 "c" "MainVerb" 9 "CP1" 469 4 "crit" 0 0 -1 -1 -1 1 6.15060276844628
"1214" 15 "c" "MainVerb" 37 "CP1" 406 4 "crit" 0 0 -1 -1 -1 1 6.00635315960173
"1215" 15 "c" "MainVerb" 5 "CP1" 1031 4 "crit" 0 0 -1 -1 -1 1 6.93828448401696
"1219" 15 "d" "MainVerb" 18 "CP1" 875 4 "crit" 0 0 1 -1 1 -1 6.77422388635761
"1222" 15 "d" "MainVerb" 46 "CP1" 1187 4 "crit" 0 0 1 -1 1 -1 7.07918439460967
"1223" 15 "d" "MainVerb" 34 "CP1" 485 4 "crit" 0 0 1 -1 1 -1 6.18414889093748
"1227" 15 "d" "MainVerb" 22 "CP1" 1063 4 "crit" 0 0 1 -1 1 -1 6.96885037834195
"1230" 15 "d" "MainVerb" 38 "CP1" 407 4 "crit" 0 0 1 -1 1 -1 6.00881318544259
"1232" 15 "d" "MainVerb" 6 "CP1" 422 4 "crit" 0 0 1 -1 1 -1 6.04500531403601
"1233" 15 "d" "MainVerb" 14 "CP1" 1047 4 "crit" 0 0 1 -1 1 -1 6.95368421087054
"1234" 15 "d" "MainVerb" 54 "CP1" 453 4 "crit" 0 0 1 -1 1 -1 6.11589212548303
"1235" 15 "d" "MainVerb" 26 "CP1" 453 4 "crit" 0 0 1 -1 1 -1 6.11589212548303
"1241" 15 "d" "MainVerb" 10 "CP1" 360 4 "crit" 0 0 1 -1 1 -1 5.88610403145016
"1244" 15 "d" "MainVerb" 2 "CP1" 688 4 "crit" 0 0 1 -1 1 -1 6.53378883793334
"1246" 15 "d" "MainVerb" 50 "CP1" 500 4 "crit" 0 0 1 -1 1 -1 6.21460809842219
"1248" 15 "d" "MainVerb" 42 "CP1" 328 4 "crit" 0 0 1 -1 1 -1 5.79301360838414
"1250" 15 "d" "MainVerb" 30 "CP1" 531 4 "crit" 0 0 1 -1 1 -1 6.27476202124194
"1258" 15 "d" "MainVerb" 58 "CP1" 1203 4 "crit" 0 0 1 -1 1 -1 7.09257371597468
"1262" 16 "a" "CPLightVerb" 26 "CP1" 328 4 "crit" 1 -1 0 1 -1 -1 5.79301360838414
"1264" 16 "a" "CPLightVerb" 30 "CP1" 781 4 "crit" 1 -1 0 1 -1 -1 6.66057514983969
"1270" 16 "a" "CPLightVerb" 2 "CP1" 718 4 "crit" 1 -1 0 1 -1 -1 6.57646956904822
"1273" 16 "a" "CPLightVerb" 22 "CP1" 547 4 "crit" 1 -1 0 1 -1 -1 6.30444880242198
"1277" 16 "a" "CPLightVerb" 38 "CP1" 531 4 "crit" 1 -1 0 1 -1 -1 6.27476202124194
"1280" 16 "a" "CPLightVerb" 50 "CP1" 1531 4 "crit" 1 -1 0 1 -1 -1 7.33367639565768
"1281" 16 "a" "CPLightVerb" 10 "CP1" 421 4 "crit" 1 -1 0 1 -1 -1 6.04263283368238
"1283" 16 "a" "CPLightVerb" 42 "CP1" 937 4 "crit" 1 -1 0 1 -1 -1 6.84268328223842
"1285" 16 "a" "CPLightVerb" 14 "CP1" 750 4 "crit" 1 -1 0 1 -1 -1 6.62007320653036
"1297" 16 "a" "CPLightVerb" 6 "CP1" 484 4 "crit" 1 -1 0 1 -1 -1 6.18208490671663
"1298" 16 "a" "CPLightVerb" 46 "CP1" 1078 4 "crit" 1 -1 0 1 -1 -1 6.98286275146894
"1299" 16 "a" "CPLightVerb" 34 "CP1" 547 4 "crit" 1 -1 0 1 -1 -1 6.30444880242198
"1300" 16 "a" "CPLightVerb" 54 "CP1" 1547 4 "crit" 1 -1 0 1 -1 -1 7.34407285057307
"1302" 16 "a" "CPLightVerb" 58 "CP1" 562 4 "crit" 1 -1 0 1 -1 -1 6.33150184989369
"1305" 16 "a" "CPLightVerb" 18 "CP1" 703 4 "crit" 1 -1 0 1 -1 -1 6.55535689181067
"1306" 16 "b" "CPLightVerb" 11 "CP1" 719 4 "crit" 1 1 0 1 1 1 6.57786135772105
"1308" 16 "b" "CPLightVerb" 3 "CP1" 578 4 "crit" 1 1 0 1 1 1 6.35957386867238
"1312" 16 "b" "CPLightVerb" 15 "CP1" 469 4 "crit" 1 1 0 1 1 1 6.15060276844628
"1317" 16 "b" "CPLightVerb" 39 "CP1" 453 4 "crit" 1 1 0 1 1 1 6.11589212548303
"1319" 16 "b" "CPLightVerb" 35 "CP1" 422 4 "crit" 1 1 0 1 1 1 6.04500531403601
"1320" 16 "b" "CPLightVerb" 31 "CP1" 468 4 "crit" 1 1 0 1 1 1 6.14846829591765
"1321" 16 "b" "CPLightVerb" 59 "CP1" 1485 4 "crit" 1 1 0 1 1 1 7.3031700512368
"1326" 16 "b" "CPLightVerb" 47 "CP1" 578 4 "crit" 1 1 0 1 1 1 6.35957386867238
"1329" 16 "b" "CPLightVerb" 19 "CP1" 484 4 "crit" 1 1 0 1 1 1 6.18208490671663
"1330" 16 "b" "CPLightVerb" 23 "CP1" 375 4 "crit" 1 1 0 1 1 1 5.92692602597041
"1334" 16 "b" "CPLightVerb" 27 "CP1" 610 4 "crit" 1 1 0 1 1 1 6.41345895716736
"1336" 16 "b" "CPLightVerb" 43 "CP1" 391 4 "crit" 1 1 0 1 1 1 5.96870755998537
"1337" 16 "b" "CPLightVerb" 51 "CP1" 3906 4 "crit" 1 1 0 1 1 1 8.27026911143662
"1340" 16 "b" "CPLightVerb" 7 "CP1" 360 4 "crit" 1 1 0 1 1 1 5.88610403145016
"1344" 16 "b" "CPLightVerb" 55 "CP1" 781 4 "crit" 1 1 0 1 1 1 6.66057514983969
"1353" 16 "c" "MainVerb" 40 "CP1" 937 4 "crit" 0.5 0 -1 -1 -1 1 6.84268328223842
"1356" 16 "c" "MainVerb" 44 "CP1" 563 4 "crit" 0.5 0 -1 -1 -1 1 6.33327962813969
"1357" 16 "c" "MainVerb" 56 "CP1" 891 4 "crit" 0.5 0 -1 -1 -1 1 6.79234442747081
"1361" 16 "c" "MainVerb" 16 "CP1" 688 4 "crit" 0.5 0 -1 -1 -1 1 6.53378883793334
"1362" 16 "c" "MainVerb" 28 "CP1" 594 4 "crit" 0.5 0 -1 -1 -1 1 6.38687931936265
"1363" 16 "c" "MainVerb" 52 "CP1" 1031 4 "crit" 0.5 0 -1 -1 -1 1 6.93828448401696
"1365" 16 "c" "MainVerb" 20 "CP1" 547 4 "crit" 0.5 0 -1 -1 -1 1 6.30444880242198
"1367" 16 "c" "MainVerb" 4 "CP1" 922 4 "crit" 0.5 0 -1 -1 -1 1 6.82654522355659
"1374" 16 "c" "MainVerb" 60 "CP1" 375 4 "crit" 0.5 0 -1 -1 -1 1 5.92692602597041
"1378" 16 "c" "MainVerb" 8 "CP1" 484 4 "crit" 0.5 0 -1 -1 -1 1 6.18208490671663
"1379" 16 "c" "MainVerb" 36 "CP1" 516 4 "crit" 0.5 0 -1 -1 -1 1 6.24610676548156
"1382" 16 "c" "MainVerb" 12 "CP1" 1172 4 "crit" 0.5 0 -1 -1 -1 1 7.06646697013696
"1387" 16 "c" "MainVerb" 32 "CP1" 469 4 "crit" 0.5 0 -1 -1 -1 1 6.15060276844628
"1388" 16 "c" "MainVerb" 24 "CP1" 781 4 "crit" 0.5 0 -1 -1 -1 1 6.66057514983969
"1389" 16 "c" "MainVerb" 48 "CP1" 609 4 "crit" 0.5 0 -1 -1 -1 1 6.4118182677099
"1396" 16 "d" "MainVerb" 53 "CP1" 610 4 "crit" 0.5 0 1 -1 1 -1 6.41345895716736
"1399" 16 "d" "MainVerb" 49 "CP1" 391 4 "crit" 0.5 0 1 -1 1 -1 5.96870755998537
"1401" 16 "d" "MainVerb" 13 "CP1" 922 4 "crit" 0.5 0 1 -1 1 -1 6.82654522355659
"1403" 16 "d" "MainVerb" 57 "CP1" 453 4 "crit" 0.5 0 1 -1 1 -1 6.11589212548303
"1405" 16 "d" "MainVerb" 17 "CP1" 407 4 "crit" 0.5 0 1 -1 1 -1 6.00881318544259
"1408" 16 "d" "MainVerb" 25 "CP1" 359 4 "crit" 0.5 0 1 -1 1 -1 5.88332238848828
"1410" 16 "d" "MainVerb" 1 "CP1" 328 4 "crit" 0.5 0 1 -1 1 -1 5.79301360838414
"1414" 16 "d" "MainVerb" 21 "CP1" 469 4 "crit" 0.5 0 1 -1 1 -1 6.15060276844628
"1420" 16 "d" "MainVerb" 41 "CP1" 531 4 "crit" 0.5 0 1 -1 1 -1 6.27476202124194
